network_traffic_mbps,failed_logins,cpu_usage_pct,data_egress_mb,active_connections,attack_type
111.96,1.54,31.87,7.6,123.91,
131.76,1.92,41.67,4.56,157.26,
119.1,2.08,30.56,3.99,154.41,
123.01,1.84,31.71,6.2,148.06,
673.5,0.79,70.8,9.18,557.13,ddos
644.84,3.55,74.1,12.78,1020.94,ddos
697.09,2.88,56.21,6.41,650.15,ddos
121.87,2.85,28.19,5.77,106.45,
112.21,0.76,47.61,2.17,121.2,
167.53,48.39,47.72,6.71,315.7,bruteforce
219.07,0.0,37.15,5.59,250.13,bruteforce
209.5,6.56,41.81,9.38,374.63,bruteforce
122.16,2.36,29.17,3.49,104.84,
131.33,0,23.07,5.85,142.97,
134.17,1.22,34.01,4.93,153.27,
103.56,1.95,38.15,6.62,134.66,
129.06,2.54,25.91,6.95,147.27,
118.13,2.78,37.96,7.41,136.33,
172.01,39.49,49.69,2.78,293.92,bruteforce
151.63,43.59,71.97,0.0,203.21,bruteforce
162.6,35.93,64.59,5.97,211.55,bruteforce
210.27,33.82,50.3,7.7,355.06,bruteforce
157.85,36.96,66.65,9.45,239.0,bruteforce
217.6,63.74,40.88,2.52,224.09,bruteforce
134.23,1.89,33.36,5.18,168.05,
123.84,2.1,29.49,4.35,154.56,
238.84,21.96,53.01,8.66,252.81,bruteforce
238.42,12.09,48.6,4.02,307.03,bruteforce
131.91,2.72,36.33,6.66,96.35,
99.98,1.61,39.4,7.14,169.06,
123.91,2.73,26.16,2.39,155.82,
107.2,3.27,35.48,0,189.53,
134.64,0.44,40.79,5.03,169.0,
116.18,1.66,47.63,3.07,181.51,
126.46,1.83,34.35,4.62,129.83,
110.41,2.73,35.98,3.33,172.87,
134.06,1.97,39.99,5.34,176.74,
131.04,1.75,45.71,3.09,117.79,
110.67,0,40.03,2.23,173.87,
93.98,2.7,27.02,6.63,137.75,
139.1,2.03,38.48,4.36,171.97,
129.58,2.52,24.67,2.04,140.43,
119.0,0.71,44.12,4.55,182.97,
109.45,2.53,36.49,5.04,151.56,
136.65,1.9,37.25,7.34,140.4,
110.28,0.44,33.48,6.97,138.37,
105.3,2.21,36.57,4.66,147.4,
149.05,0.94,12.07,6.27,134.4,
129.11,2.25,39.74,5.39,146.43,
113.85,4.55,25.6,2.92,141.31,
119.75,0,33.31,4.63,136.92,
126.67,1.97,24.21,3.35,141.7,
115.53,0,28.55,6.57,137.02,
146.33,4.52,38.4,7.23,158.45,
119.42,2.58,37.04,4.92,164.3,
107.26,1.78,26.73,7.49,177.83,
105.43,2.21,33.94,2.68,156.4,
123.61,2.78,43.13,6.33,152.54,
120.64,1.99,20.08,9.3,142.27,
121.22,4.48,32.4,6.85,143.28,
98.59,2.99,37.36,2.91,156.0,
178.36,27.41,64.91,11.22,300.22,bruteforce
140.59,80.82,70.21,6.22,340.54,bruteforce
134.87,46.4,41.78,4.81,252.04,bruteforce
160.99,23.14,39.88,5.97,229.98,bruteforce
142.23,3.29,28.58,8.59,173.48,
98.34,2.76,38.12,5.1,180.31,
122.79,2.14,46.24,6.22,172.21,
103.92,2.39,40.51,2.81,123.04,
101.9,2.34,22.84,4.27,143.73,
119.55,1.92,43.46,5.79,151.94,
140.77,4.06,45.87,1.95,187.59,
148.83,2.68,23.85,6.36,156.04,
137.96,1.68,37.85,2.28,149.84,
129.75,1.74,41.53,2.67,147.54,
93.13,1.91,36.49,2.03,134.36,
123.57,4.82,22.1,5.46,141.84,
115.04,2.93,29.64,6.83,165.65,
87.49,1.25,33.99,5.65,156.4,
132.21,1.76,42.13,1.92,148.34,
139.57,2.26,35.15,4.31,181.52,
116.01,5.14,38.49,0.94,141.1,
126.88,2.37,42.12,4.49,158.52,
129.09,0.87,40.37,4.11,136.4,
124.06,1.84,34.23,1.5,102.84,
116.58,1.69,30.86,4.41,163.31,
125.57,2.75,33.02,0.92,151.68,
119.22,2.49,28.5,4.78,113.0,
91.1,2.68,37.39,2.8,138.18,
137.15,3.21,47.67,7.15,161.7,
149.97,1.65,31.13,10.29,137.83,
115.37,3.37,29.51,2.12,166.07,
120.66,4.64,34.44,6.99,192.5,
116.76,2.5,41.94,7.89,140.6,
115.48,1.61,35.46,4.23,119.84,
143.31,1.94,45.85,0,119.7,
309.22,2.61,38.1,83.13,296.96,exfiltration
310.9,2.52,43.88,126.06,249.42,exfiltration
113.6,3.31,33.06,3.46,119.01,
125.13,2.76,27.82,7.21,144.52,
119.16,0.78,40.22,5.04,160.32,
115.48,2.68,51.42,3.07,145.73,
153.98,1.32,31.46,2.61,153.25,
109.53,3.55,45.88,5.23,155.33,
120.66,3.53,45.19,8.5,141.69,
110.25,2.85,27.77,9.46,142.21,
113.73,0.94,50.89,8.22,129.61,
216.81,11.94,91.66,23.43,188.38,ransomware
206.28,15.89,115.32,19.76,241.51,ransomware
164.33,10.73,59.42,14.45,179.01,ransomware
228.29,7.93,85.45,4.1,192.21,ransomware
112.31,0.04,31.2,9.13,146.9,
158.8,0.33,36.72,5.2,167.9,
121.35,1.91,28.39,7.48,137.43,
124.77,2.95,42.02,3.5,132.29,
114.94,0,29.4,5.43,155.81,
78.97,2.19,33.27,7.98,132.22,
123.53,1.13,36.76,6.46,145.67,
127.82,0,43.39,5.34,140.32,
113.72,1.91,29.02,3.43,129.02,
114.75,0,39.95,2.65,128.38,
99.07,1.84,40.93,6.01,146.18,
168.11,57.16,64.76,3.49,216.59,bruteforce
176.76,2.98,53.11,8.62,292.1,bruteforce
125.65,0.59,44.49,4.33,177.39,
253.59,5.31,58.15,131.94,223.37,exfiltration
218.33,1.61,17.79,127.5,251.46,exfiltration
336.61,4.58,33.25,222.47,215.25,exfiltration
278.9,3.09,67.53,209.44,298.97,exfiltration
235.53,4.17,42.99,107.19,288.78,exfiltration
114.79,2.34,48.05,6.41,143.51,
115.18,0.84,26.21,6.41,161.18,
111.55,4.41,40.49,5.3,160.21,
105.64,3.26,47.3,3.56,142.8,
98.91,3.11,31.87,5.07,145.1,
95.48,2.54,23.69,6.43,113.97,
115.76,3.5,36.54,8.11,147.2,
119.32,2.79,45.23,5.48,131.5,
124.76,1.11,51.08,3.7,141.04,
121.57,0,25.39,3.37,151.97,
122.0,3.96,38.95,6.79,191.07,
111.72,0.09,27.87,3.07,141.2,
126.25,1.46,30.18,3.64,195.21,
103.78,1.2,33.42,4.34,162.82,
137.81,2.3,30.43,5.81,137.16,
112.42,0.44,45.4,6.2,108.93,
117.2,0.84,26.48,8.7,116.26,
99.79,1.9,31.52,4.12,143.58,
131.02,2.95,24.18,4.43,180.83,
144.47,2.1,39.23,4.45,141.34,
143.63,1.98,41.52,6.01,180.02,
121.19,0.59,25.87,5.51,154.56,
112.23,1.51,31.28,7.32,141.98,
122.46,3.41,26.26,5.37,167.18,
131.63,2.59,39.99,3.23,153.22,
175.82,45.33,66.67,2.98,300.85,bruteforce
178.14,77.89,30.94,3.59,264.56,bruteforce
200.2,56.4,47.44,3.0,219.81,bruteforce
195.81,39.26,26.22,7.74,221.25,bruteforce
210.96,21.92,41.21,7.17,296.54,bruteforce
204.43,49.33,59.23,3.0,234.82,bruteforce
106.42,2.79,24.61,0,136.3,
304.77,1.53,54.22,76.83,155.79,exfiltration
245.56,4.38,54.54,87.94,251.48,exfiltration
197.18,5.06,32.83,26.49,209.41,exfiltration
247.74,1.82,40.81,141.26,259.33,exfiltration
261.63,0.0,38.75,184.96,198.16,exfiltration
251.9,3.3,47.48,184.66,207.26,exfiltration
115.96,2.82,31.43,7.01,165.36,
102.78,2.46,46.37,2.12,172.16,
101.16,1.43,22.03,2.93,135.37,
126.28,0.55,34.9,4.86,178.07,
136.71,2.31,42.24,7.62,195.3,
106.3,1.78,24.59,7.73,134.47,
121.01,3.72,35.01,4.85,130.98,
89.87,3.14,24.52,5.07,157.87,
125.4,1.73,30.94,5.73,165.31,
117.11,2.03,31.56,9.15,154.4,
120.54,3.43,35.03,7.55,171.68,
112.07,2.69,20.03,6.22,147.7,
107.42,3.03,36.31,3.94,155.62,
103.29,2.72,53.74,4.36,122.68,
148.15,0,44.67,4.82,134.21,
139.63,0.08,40.93,7.9,164.93,
118.71,0.97,24.56,3.99,99.75,
130.28,4.83,34.34,1.84,143.29,
124.42,0.56,29.29,2.62,149.94,
126.1,0.54,35.8,6.37,138.14,
123.28,1.81,42.34,5.35,170.06,
103.88,2.7,28.65,8.3,178.96,
132.93,1.62,34.18,5.8,143.47,
118.83,3.02,38.8,8.21,158.7,
107.85,1.32,42.0,2.44,167.34,
115.34,3.36,38.4,6.25,139.02,
97.48,0.6,32.94,5.72,173.6,
116.83,3.47,42.58,5.79,142.8,
258.83,2.59,34.16,155.38,160.83,exfiltration
230.13,0.67,62.6,103.36,199.36,exfiltration
248.77,2.57,44.78,130.49,239.46,exfiltration
104.93,2.78,8.65,6.21,168.17,
143.82,4.22,38.02,6.21,131.82,
110.39,3.15,25.37,4.32,175.12,
137.23,4.37,35.72,4.81,185.78,
132.06,1.38,44.43,5.06,153.05,
91.75,1.99,35.73,6.24,143.41,
133.07,2.46,53.62,6.6,159.38,
129.88,2.5,38.64,1.69,176.76,
196.39,17.32,60.5,37.63,177.32,ransomware
266.75,2.03,126.19,20.67,226.52,ransomware
252.62,7.48,88.3,16.38,203.29,ransomware
216.65,0.0,91.41,14.27,240.65,ransomware
122.19,5.43,38.65,6.04,133.25,
98.29,2.8,36.1,2.86,140.44,
117.55,2.84,32.47,6.83,145.07,
126.94,0.99,26.66,6.77,154.21,
147.79,1.4,33.17,3.78,147.09,
876.06,1.54,83.87,6.37,620.07,ddos
772.79,1.7,68.11,6.59,465.49,ddos
641.66,3.99,54.64,1.38,723.97,ddos
715.28,3.44,55.22,7.03,825.97,ddos
117.43,2.14,25.83,3.82,136.72,
133.31,0.24,31.33,1.6,144.68,
876.37,0.83,31.55,6.08,753.42,ddos
715.94,1.94,53.67,9.09,664.39,ddos
843.03,2.72,71.7,3.89,534.46,ddos
1125.26,1.29,85.64,14.63,935.74,ddos
790.78,2.72,75.75,10.59,619.38,ddos
116.17,2.75,17.55,2.52,129.25,
122.37,0.64,39.63,4.53,180.31,
130.99,1.23,44.67,3.27,143.44,
101.59,2.63,32.16,5.94,131.43,
107.09,2.17,40.66,2.48,176.11,
125.46,1.55,31.57,5.03,107.24,
108.11,2.35,48.37,4.25,140.08,
113.02,1.22,46.7,2.42,114.56,
143.74,1.48,42.11,4.76,100.38,
133.81,1.89,44.07,0.83,140.14,
112.84,2.48,22.5,3.33,155.3,
117.94,0.8,19.46,4.43,174.78,
125.16,2.65,28.07,6.7,149.21,
102.64,2.72,35.83,5.91,146.85,
122.7,3.14,37.53,4.78,165.03,
135.83,1.83,42.86,4.99,160.26,
129.94,3.26,29.27,5.82,147.22,
100.46,1.76,51.07,4.86,154.03,
107.48,2.7,33.66,7.31,162.21,
113.88,4.45,24.11,5.65,154.96,
127.15,0.23,36.82,6.69,152.34,
103.78,2.28,27.65,2.19,168.15,
136.29,1.83,36.19,7.64,167.01,
123.28,1.74,40.5,2.82,117.03,
114.9,5.18,30.19,4.8,160.08,
124.9,3.13,34.04,7.24,145.41,
118.44,0.36,33.91,2.11,109.08,
93.61,2.45,38.99,4.18,113.6,
134.34,0,31.04,5.64,203.89,
105.55,0.66,25.63,9.08,129.69,
165.98,34.24,53.08,1.44,273.97,bruteforce
184.5,58.5,50.86,5.8,313.21,bruteforce
151.74,35.02,65.56,9.34,299.55,bruteforce
126.83,3.38,37.81,3.56,166.13,
126.34,1.91,27.69,6.83,123.79,
113.49,2.2,45.08,4.31,143.27,
93.37,0.17,29.7,5.81,146.08,
112.78,1.39,42.78,4.96,156.59,
109.88,2.99,46.39,5.02,149.06,
135.0,0.79,44.05,2.07,124.19,
104.93,1.29,35.54,0.46,135.03,
92.91,2.15,31.43,8.2,130.25,
138.49,2.6,19.45,5.82,154.56,
145.91,4.01,32.36,7.02,175.93,
122.57,2.34,17.53,3.07,142.01,
153.91,1.3,35.24,3.47,150.77,
110.79,1.75,34.25,6.37,190.02,
137.87,2.92,28.71,4.13,165.64,
112.9,2.63,31.28,6.5,182.52,
137.67,9.15,106.75,36.59,272.04,ransomware
142.36,5.34,90.79,26.13,257.65,ransomware
159.82,0.5,146.97,21.24,204.16,ransomware
220.48,4.64,82.63,17.14,180.36,ransomware
119.56,2.64,39.26,5.55,142.7,
125.05,2.23,39.37,4.36,136.46,
101.68,2.38,29.27,0.8,124.87,
126.43,0.9,37.9,6.45,172.18,
119.94,3.22,34.56,6.54,134.32,
83.0,1.34,32.3,7.39,131.09,
100.09,0.81,29.23,6.58,170.29,
138.73,0.65,23.68,4.61,163.76,
144.23,2.52,25.52,6.88,84.91,
109.27,1.96,35.32,3.66,163.94,
113.3,2.83,25.68,3.85,128.83,
113.25,2.26,33.21,5.19,140.37,
93.92,2.07,31.17,7.93,122.0,
106.43,2.17,35.11,2.59,164.72,
139.61,1.95,35.71,6.02,160.96,
111.11,2.38,30.31,5.19,154.35,
108.0,2.06,24.09,6.2,177.19,
139.08,1.78,31.45,1.52,197.86,
132.14,2.16,38.17,7.04,196.25,
129.02,2.99,37.32,4.77,157.97,
115.18,0.46,42.34,6.9,181.05,
145.59,0,39.77,2.16,164.32,
122.01,2.47,25.68,2.52,136.54,
127.84,2.26,31.96,7.51,150.51,
129.59,1.97,38.71,0.33,149.11,
121.45,1.46,30.82,5.18,150.0,
142.09,3.18,41.7,8.41,132.79,
123.1,1.57,38.27,4.99,175.84,
113.64,2.36,31.33,3.49,137.64,
112.7,0,29.31,3.18,158.17,
130.27,2.33,32.96,4.1,143.5,
113.26,2.56,40.45,4.36,133.16,
133.4,2.82,51.88,5.79,197.04,
112.39,2.12,36.32,7.66,149.66,
126.82,2.16,43.81,8.22,178.4,
113.23,0.76,40.59,5.78,120.56,
114.51,2.48,34.9,5.44,173.85,
118.23,2.0,34.67,1.58,135.63,
128.9,1.01,41.7,7.2,147.07,
122.97,2.64,28.18,8.1,152.5,
139.52,3.44,44.2,2.41,162.31,
126.97,3.28,39.95,4.72,185.95,
257.08,9.78,45.51,10.53,206.95,bruteforce
115.55,7.28,49.83,4.95,275.08,bruteforce
191.95,36.56,41.38,5.77,302.59,bruteforce
184.17,32.51,48.92,5.29,251.94,bruteforce
121.58,1.38,35.79,5.24,146.61,
121.57,1.25,49.16,5.45,164.93,
134.32,2.27,47.23,7.1,164.38,
