network_traffic_mbps,failed_logins,cpu_usage_pct,data_egress_mb,active_connections,attack_type
197.18,92.6,53.97,3.66,278.5,bruteforce
153.07,38.38,21.77,5.82,259.48,bruteforce
160.77,32.49,60.76,6.72,271.88,bruteforce
95.43,2.77,26.38,7.29,147.39,
659.91,0.02,53.18,9.4,850.13,ddos
370.03,0.34,36.33,2.56,558.99,ddos
129.86,3.59,50.46,5.47,180.06,
112.65,0.85,41.07,4.38,171.51,
120.42,0,41.13,4.7,146.79,
134.19,2.17,34.23,9.06,142.98,
133.92,2.66,35.9,3.11,140.7,
112.77,3.24,40.03,8.8,164.34,
117.26,0,34.14,4.25,163.93,
132.71,0.92,20.55,5.74,142.35,
107.54,2.39,50.06,4.09,116.45,
164.09,2.64,39.1,4.04,163.22,
128.74,1.66,39.84,8.28,161.99,
124.23,3.89,25.4,4.25,151.7,
104.24,3.63,43.5,3.99,125.62,
118.31,2.39,53.8,6.11,135.09,
99.34,0.87,36.69,2.2,156.7,
102.06,3.05,23.74,3.77,155.15,
460.93,1.83,61.14,8.63,650.13,ddos
884.46,4.96,44.65,1.66,331.13,ddos
823.58,3.1,42.0,10.06,703.35,ddos
576.6,0.31,22.96,7.71,811.77,ddos
564.78,2.51,124.32,10.22,747.96,ddos
116.8,2.93,39.75,5.89,123.12,
126.42,2.77,26.28,6.64,161.25,
100.93,2.22,42.76,7.88,170.12,
206.83,2.64,23.24,343.05,216.5,exfiltration
253.69,1.94,59.89,105.11,182.29,exfiltration
254.6,1.9,39.4,22.07,243.71,exfiltration
117.49,1.71,33.14,6.99,158.56,
133.37,1.0,40.84,7.04,164.14,
118.16,3.28,41.36,6.45,174.52,
95.37,2.45,48.76,5.95,144.3,
105.28,2.46,32.52,1.94,119.43,
243.54,5.48,104.47,8.26,211.62,ransomware
160.42,5.54,81.49,23.87,217.42,ransomware
198.57,6.28,89.02,19.08,197.26,ransomware
145.64,2.46,41.56,4.33,128.56,
102.67,2.91,29.94,2.18,155.93,
125.29,1.25,57.22,1.12,186.78,
147.26,2.39,45.08,3.74,131.19,
101.19,0.34,43.91,3.89,149.86,
302.66,0.0,37.63,146.34,242.63,exfiltration
224.44,4.64,54.71,181.45,167.78,exfiltration
286.36,4.6,31.11,191.95,234.78,exfiltration
302.81,0.93,47.47,127.14,271.63,exfiltration
260.68,5.6,43.95,219.95,189.01,exfiltration
98.27,2.84,46.55,2.45,170.97,
131.02,2.69,36.79,0.13,144.05,
131.67,0.34,39.39,3.65,117.5,
130.25,0,25.61,7.41,158.35,
108.59,1.32,36.15,7.95,167.05,
117.2,1.53,26.06,5.33,146.72,
120.14,0.73,36.07,7.4,175.22,
104.05,3.64,37.39,7.73,148.22,
129.46,3.81,30.75,2.72,153.16,
134.43,2.35,24.7,7.41,124.33,
144.43,4.56,35.72,2.86,110.57,
141.1,2.22,45.56,3.12,115.63,
123.74,4.3,24.73,1.43,138.37,
126.94,0.91,35.82,7.28,145.38,
123.34,2.15,52.88,5.79,165.59,
111.58,1.93,28.96,5.58,162.99,
104.62,1.34,24.67,4.63,118.25,
107.94,4.99,31.43,7.75,137.75,
128.52,2.46,31.3,2.65,149.43,
116.44,0.84,46.95,4.2,119.86,
757.16,5.3,99.87,10.5,755.04,ddos
822.47,5.08,49.01,1.72,1127.22,ddos
753.62,3.56,57.87,7.96,566.58,ddos
945.58,1.05,78.85,8.95,570.5,ddos
123.7,2.07,41.75,4.4,128.47,
111.83,2.19,23.4,5.56,143.94,
98.63,3.09,42.96,5.82,127.73,
252.12,6.34,97.97,3.89,166.29,ransomware
224.98,2.85,68.28,11.85,218.1,ransomware
217.66,4.11,114.01,41.79,209.54,ransomware
104.11,9.26,49.09,25.43,280.84,ransomware
208.62,6.32,74.27,32.87,212.01,ransomware
185.03,0.0,103.04,22.02,254.86,ransomware
597.74,1.8,96.43,2.7,1246.18,ddos
1007.29,0.0,66.33,6.27,715.96,ddos
651.83,4.64,59.41,6.47,986.82,ddos
123.29,1.7,36.2,7.99,141.03,
123.53,2.08,44.75,4.12,162.26,
118.21,1.04,27.83,2.89,127.65,
102.62,2.99,38.68,6.88,149.74,
115.0,2.78,31.36,7.58,162.9,
138.56,0,28.71,4.85,153.44,
139.28,3.25,46.98,2.36,151.3,
120.53,1.54,31.9,7.58,156.08,
115.34,0,39.39,4.75,141.52,
116.4,2.57,34.08,1.5,193.6,
123.41,0.3,45.47,0,151.69,
134.37,1.1,30.72,3.52,162.67,
147.52,0,44.4,1.64,152.94,
140.67,0.15,24.9,5.52,179.71,
120.09,1.59,17.8,9.31,172.63,
119.35,2.16,36.77,4.29,146.3,
150.85,6.27,61.63,40.52,281.13,ransomware
237.04,7.19,82.49,23.85,228.86,ransomware
204.73,2.09,115.68,13.6,197.52,ransomware
176.28,5.21,60.58,23.88,254.98,ransomware
107.26,1.52,33.62,5.56,141.46,
102.8,2.03,41.01,5.9,143.78,
97.81,2.63,30.2,3.02,170.55,
154.36,2.89,35.52,4.22,139.47,
121.03,1.7,42.08,8.31,176.28,
126.06,2.18,31.61,4.3,146.98,
115.55,1.36,33.05,3.93,149.16,
140.24,2.13,37.42,7.89,174.52,
114.95,2.63,19.07,5.35,139.83,
121.27,3.38,37.81,3.73,182.8,
130.22,1.54,26.88,2.4,182.73,
130.8,3.25,31.92,7.39,113.6,
133.35,2.12,23.8,3.88,171.19,
252.91,1.77,48.82,371.97,257.89,exfiltration
261.99,3.15,58.7,166.9,208.77,exfiltration
282.39,3.6,65.31,136.47,305.44,exfiltration
113.9,2.15,36.94,5.35,159.6,
156.46,2.04,40.91,7.09,171.8,
147.78,4.43,43.85,4.04,151.75,
111.93,0.78,17.76,4.84,157.04,
233.97,2.74,43.87,126.82,227.17,exfiltration
254.9,3.19,50.42,231.73,233.98,exfiltration
261.7,3.57,51.99,228.79,231.02,exfiltration
260.88,3.1,32.23,120.78,276.5,exfiltration
116.6,1.93,21.3,6.28,143.39,
140.88,3.93,33.83,4.79,145.48,
101.98,1.9,32.49,3.87,128.21,
136.22,2.6,45.53,3.23,147.97,
111.17,1.31,46.71,3.91,160.13,
112.98,5.09,39.38,7.76,138.0,
119.1,2.58,49.82,3.68,136.13,
113.04,1.3,33.61,6.39,148.59,
101.75,2.76,43.99,2.91,117.24,
98.48,0.75,42.6,7.76,105.01,
342.95,2.18,39.72,93.79,261.4,exfiltration
280.92,0.58,58.52,40.54,244.43,exfiltration
321.68,1.3,50.76,71.68,207.24,exfiltration
110.99,0,37.92,4.72,120.32,
111.32,1.42,33.5,8.97,132.4,
106.45,0,44.33,2.27,179.25,
125.91,0,30.82,5.18,169.77,
127.46,0.28,36.15,2.05,221.66,
116.94,1.64,32.7,3.73,199.15,
108.94,1.6,36.91,5.93,177.84,
136.04,0.51,28.46,8.07,161.67,
104.73,4.39,43.89,2.68,165.66,
118.15,2.26,41.85,5.16,109.89,
119.59,3.35,25.21,6.71,138.39,
110.05,2.3,27.32,7.01,168.27,
129.2,2.9,38.9,2.29,111.71,
141.51,4.93,36.41,0,113.2,
131.54,3.36,36.18,6.96,138.2,
119.04,2.2,28.77,6.65,130.2,
196.51,9.75,94.05,21.83,126.96,ransomware
160.33,5.73,106.83,12.16,187.7,ransomware
230.95,8.03,81.84,18.76,230.38,ransomware
114.06,1.81,36.87,8.87,176.96,
126.72,1.94,23.58,3.42,141.3,
114.45,3.25,32.59,5.2,148.37,
118.14,2.07,32.94,3.13,154.01,
123.8,0.85,24.71,6.14,140.85,
108.28,3.99,36.28,7.18,141.94,
131.02,0.13,39.15,4.21,132.74,
130.39,2.08,37.11,7.3,143.21,
131.59,3.33,39.14,4.89,170.43,
128.63,3.16,30.98,5.43,140.33,
121.01,1.4,45.5,5.28,157.91,
144.13,1.57,30.42,6.76,148.72,
117.28,1.13,39.49,6.88,136.2,
109.34,3.09,30.55,4.59,132.09,
322.88,2.67,40.73,243.4,195.89,exfiltration
324.84,4.71,47.46,206.98,270.99,exfiltration
198.68,1.18,58.15,108.55,221.59,exfiltration
272.59,1.27,34.4,66.59,220.98,exfiltration
224.79,2.35,63.28,288.41,280.15,exfiltration
281.19,2.01,47.76,60.83,258.11,exfiltration
96.96,0.35,39.54,8.68,123.37,
132.17,1.8,22.3,5.41,167.93,
105.99,2.67,36.58,4.11,117.41,
107.31,1.09,38.02,7.0,141.32,
268.11,0.0,45.86,228.03,267.47,exfiltration
331.36,4.28,47.96,108.54,226.44,exfiltration
117.77,3.45,39.05,0.79,153.67,
116.74,0.96,23.78,1.57,174.61,
109.67,0,46.98,1.01,143.53,
102.52,2.37,38.11,6.21,189.54,
103.14,0.45,36.44,6.3,136.47,
113.61,1.36,37.09,3.69,148.29,
108.75,1.58,52.85,3.15,158.99,
108.66,1.71,35.67,4.57,174.7,
125.02,2.22,61.59,5.47,92.82,
129.44,0.75,27.44,3.6,123.96,
120.8,0,25.0,4.82,163.53,
154.83,103.12,49.24,5.97,423.7,bruteforce
149.43,23.45,25.92,6.1,351.4,bruteforce
222.65,57.76,31.45,1.22,228.77,bruteforce
113.66,18.12,82.68,6.0,283.39,bruteforce
119.85,3.28,40.24,5.42,161.28,
127.66,1.96,47.8,5.57,134.0,
331.02,6.12,47.56,134.74,192.47,exfiltration
232.86,4.64,65.82,102.08,224.75,exfiltration
106.53,0.05,38.83,2.8,179.37,
104.48,4.61,40.51,7.86,125.08,
115.42,3.4,40.1,5.16,140.86,
117.07,4.22,38.25,7.05,128.46,
93.54,1.29,40.97,5.7,173.34,
86.6,4.04,35.37,5.78,169.5,
124.83,1.99,30.44,8.53,133.03,
117.75,2.23,37.82,5.38,142.3,
116.72,2.72,20.4,3.63,156.8,
96.8,1.2,36.58,5.67,162.06,
186.11,78.39,28.48,2.55,268.15,bruteforce
179.6,49.41,50.45,7.18,331.81,bruteforce
145.24,60.86,57.08,4.98,305.29,bruteforce
108.48,3.66,39.99,6.56,169.22,
108.08,2.04,33.93,5.81,161.39,
134.74,1.18,34.59,5.03,160.53,
117.38,2.32,20.66,6.19,146.02,
96.39,2.6,39.43,5.6,132.89,
108.47,2.09,53.11,8.35,134.43,
122.89,4.06,27.13,6.27,138.62,
142.81,0,53.85,6.85,173.71,
153.07,2.69,28.62,3.87,153.0,
112.04,1.46,27.24,3.8,172.11,
154.48,2.82,42.48,2.91,167.37,
168.68,32.94,61.94,8.65,279.53,bruteforce
195.43,38.32,43.72,6.19,301.72,bruteforce
142.79,39.72,45.6,8.28,245.89,bruteforce
100.01,1.98,43.03,2.61,165.56,
132.96,0.85,33.71,8.7,137.73,
114.31,3.76,37.05,1.65,107.14,
271.66,1.29,45.24,67.32,223.14,exfiltration
253.53,2.57,46.53,266.29,229.33,exfiltration
230.03,2.34,81.74,201.92,174.38,exfiltration
217.75,2.86,47.15,127.5,285.87,exfiltration
294.81,3.6,33.59,46.6,224.63,exfiltration
137.76,3.28,45.34,5.26,128.47,
138.73,1.94,36.65,4.34,161.7,
144.96,1.76,13.87,6.18,132.04,
133.14,1.34,26.29,1.22,117.05,
121.44,0.73,47.04,7.75,154.12,
145.4,1.88,42.58,4.25,181.66,
123.86,2.81,27.95,3.32,162.1,
116.21,0.62,25.67,2.8,186.64,
94.24,0.4,29.02,7.37,142.98,
133.11,2.6,34.62,7.74,172.3,
118.3,2.0,34.45,4.49,147.73,
142.52,1.77,53.93,2.83,146.69,
116.17,2.51,23.15,2.37,166.58,
120.75,4.1,46.37,4.88,128.39,
110.91,2.42,26.48,3.78,176.11,
87.88,3.17,23.27,5.92,170.03,
121.05,1.51,36.5,5.29,161.55,
136.87,0.67,47.16,4.84,141.55,
123.13,1.39,24.39,7.51,115.52,
149.77,0,37.92,5.8,119.33,
86.52,1.58,25.63,6.03,140.85,
120.21,1.0,36.38,5.12,138.27,
141.27,0.79,40.01,4.21,133.24,
131.39,0,30.86,5.62,150.24,
99.4,2.45,40.42,8.33,126.54,
120.19,3.35,48.53,7.22,157.72,
130.66,3.66,50.9,4.71,143.56,
112.43,2.51,32.23,9.7,130.29,
134.93,3.2,25.07,5.27,107.21,
107.69,3.12,31.38,5.06,138.42,
159.58,2.11,42.44,5.39,153.3,
119.45,3.61,37.45,4.94,170.31,
115.44,4.08,44.75,2.16,151.41,
112.54,3.2,38.46,5.52,146.1,
113.83,0.32,30.59,6.89,166.97,
142.66,2.51,32.4,2.84,151.08,
106.33,1.16,44.14,6.0,138.56,
102.85,3.21,36.1,6.7,116.26,
124.08,2.44,40.45,8.36,158.87,
119.28,2.66,32.72,3.71,158.15,
133.43,2.92,40.94,8.9,104.69,
137.39,2.58,39.05,2.66,172.74,
143.83,2.06,17.14,2.84,150.59,
216.26,33.57,50.3,3.89,246.02,bruteforce
216.38,48.75,42.87,1.17,204.36,bruteforce
186.85,59.79,41.25,2.4,332.42,bruteforce
191.69,83.08,27.67,5.0,274.46,bruteforce
157.69,21.63,71.28,5.1,316.48,bruteforce
89.86,1.58,29.04,1.22,161.35,
233.84,46.4,43.32,4.46,286.71,bruteforce
200.41,52.99,59.25,1.28,280.36,bruteforce
216.69,50.83,40.48,2.4,213.56,bruteforce
124.06,46.56,66.47,3.97,318.98,bruteforce
197.24,30.7,71.47,6.25,295.05,bruteforce
164.14,12.34,40.28,12.67,268.13,bruteforce
113.8,3.01,29.82,3.49,160.03,
105.44,0.98,32.87,5.28,156.91,
129.38,1.79,25.59,7.6,123.08,
123.74,0.68,16.39,1.36,160.56,
120.04,3.02,27.86,6.02,151.38,
111.63,1.18,35.04,4.93,147.97,
110.87,1.65,35.9,7.91,152.71,
144.07,2.28,49.63,2.67,191.63,
107.05,0,38.43,5.52,123.55,
329.21,5.19,45.92,89.27,211.36,exfiltration
219.86,3.65,40.7,236.86,276.53,exfiltration
327.17,3.84,47.5,48.38,248.57,exfiltration
245.34,1.47,42.85,107.95,206.91,exfiltration
242.2,1.35,20.41,88.42,238.48,exfiltration
101.91,1.38,28.67,9.66,148.17,
108.71,3.99,42.08,3.8,135.26,
137.07,3.22,45.35,4.79,170.17,
123.17,3.46,39.13,7.05,174.0,
136.94,2.92,30.25,4.31,150.71,
134.54,0.48,31.5,8.25,184.3,
91.01,3.08,25.49,7.94,174.52,
118.94,3.54,43.3,3.3,147.39,
120.93,2.61,34.05,5.3,150.58,
131.54,1.06,36.28,1.27,129.63,
150.31,3.38,37.07,4.35,151.01,
125.55,0.29,32.16,3.95,110.31,
154.35,1.22,57.98,8.38,108.12,
684.03,4.0,57.54,11.7,651.67,ddos
998.11,2.97,61.88,4.71,702.74,ddos
821.36,2.92,66.78,4.65,1024.42,ddos
804.08,2.17,51.94,6.37,673.87,ddos
118.59,0.35,29.42,7.12,175.11,
123.17,2.3,34.17,6.68,112.52,
117.85,1.11,34.98,5.02,131.51,
104.52,1.34,36.01,5.47,135.02,
119.29,2.9,32.31,3.92,170.07,
117.46,1.36,38.72,4.41,151.26,
119.87,2.15,27.89,2.82,153.41,
120.46,2.19,37.01,6.17,133.74,
111.58,1.59,15.52,4.68,186.39,
118.38,2.4,34.63,7.91,137.41,
128.46,1.22,36.6,5.07,131.34,
116.35,3.04,40.5,5.07,139.98,
122.9,1.63,33.24,3.16,164.61,
131.62,2.28,37.7,8.91,145.78,
109.2,4.21,39.73,4.7,162.03,
208.71,43.6,50.19,7.64,321.49,bruteforce
184.48,96.66,46.75,5.61,176.51,bruteforce
203.08,9.33,38.39,3.26,300.79,bruteforce
222.58,41.41,44.74,7.8,266.94,bruteforce
184.62,80.83,49.97,10.27,226.9,bruteforce
124.57,2.51,40.33,3.64,146.59,
127.64,0,25.77,4.92,143.05,
98.43,1.77,42.1,9.17,157.8,
114.88,2.9,40.33,4.5,172.63,
125.25,0.34,34.3,6.29,154.78,
130.19,2.78,45.76,7.35,145.52,
151.8,0.78,28.23,1.49,152.11,
126.94,2.5,26.53,4.56,164.84,
150.12,2.8,48.89,4.92,166.72,
210.0,1.39,36.21,163.72,210.25,exfiltration
262.58,6.55,32.61,141.05,193.17,exfiltration
224.47,2.31,63.26,204.4,219.13,exfiltration
243.54,3.17,64.6,96.71,233.11,exfiltration
252.38,1.75,51.6,76.77,284.8,exfiltration
225.25,0.3,50.87,25.73,218.63,exfiltration
92.59,0,43.13,5.35,165.32,
127.85,4.05,46.94,4.86,161.99,
122.15,0.91,26.95,2.31,100.75,
127.59,1.43,45.28,3.39,149.25,
127.87,2.33,40.81,7.36,165.2,
113.95,2.49,36.62,2.74,131.28,
137.11,1.85,28.44,2.37,208.25,
150.43,2.37,35.24,4.96,129.72,
132.27,2.81,31.26,5.95,122.62,
108.96,2.35,38.35,6.02,181.83,
141.51,0.99,44.92,2.99,160.36,
92.37,3.32,38.24,8.54,110.32,
107.48,1.66,42.37,2.91,172.19,
118.15,3.48,42.14,4.32,147.69,
133.46,2.0,37.89,2.93,185.19,
149.34,0.39,45.31,5.1,152.82,
137.63,1.48,14.07,4.15,158.48,
107.3,0.18,20.98,3.62,169.77,
121.91,3.74,13.17,3.85,155.62,
163.54,22.24,76.12,12.44,250.25,bruteforce
150.75,38.95,53.02,5.14,224.91,bruteforce
144.15,15.64,49.32,7.27,315.74,bruteforce
186.03,57.64,59.66,4.72,316.24,bruteforce
109.96,0.78,54.37,4.39,117.49,
112.71,2.38,35.23,3.48,112.6,
110.06,1.7,42.28,5.54,159.66,
188.91,4.06,94.52,34.16,132.97,ransomware
170.06,6.27,102.13,27.65,215.97,ransomware
172.24,6.41,75.75,39.62,221.81,ransomware
127.43,2.17,41.62,3.43,130.77,
109.53,1.3,46.72,3.71,160.42,
101.72,2.3,27.66,5.72,128.93,
180.13,62.04,44.21,8.01,261.31,bruteforce
184.6,49.55,51.34,2.37,258.54,bruteforce
142.27,17.78,55.49,5.74,253.19,bruteforce
217.76,57.46,51.8,8.0,236.79,bruteforce
158.07,49.36,58.51,4.55,223.35,bruteforce
180.18,94.83,40.3,4.09,226.9,bruteforce
118.32,3.19,35.03,4.12,123.95,
120.43,3.12,26.46,6.63,162.35,
111.78,0.63,44.74,5.34,123.61,
108.51,0.64,36.24,4.47,140.44,
106.33,2.15,29.06,7.29,163.21,
120.71,1.47,34.59,0,110.47,
129.35,3.88,31.68,4.03,120.67,
110.73,1.61,42.95,3.18,174.44,
111.92,1.48,24.23,7.72,154.58,
133.56,1.78,36.87,6.9,162.31,
159.51,1.33,30.99,1.92,105.68,
127.63,2.31,45.34,8.31,160.61,
112.59,1.43,40.43,2.2,163.48,
118.98,2.16,27.47,2.98,154.32,
147.53,1.91,37.09,3.52,148.89,
128.64,0.84,28.61,2.15,167.83,
100.02,3.43,40.47,6.78,147.55,
136.33,2.89,34.89,5.04,169.89,
117.95,0.36,33.31,3.69,163.54,
131.79,2.86,48.83,8.04,146.37,
139.29,1.72,34.86,4.5,149.19,
105.48,3.45,34.55,1.65,170.21,
134.72,3.16,38.38,5.26,129.92,
134.4,0.33,21.74,4.34,162.83,
195.6,6.02,45.92,15.4,150.03,ransomware
231.18,0.2,75.13,19.69,200.15,ransomware
170.59,5.59,102.8,37.97,170.78,ransomware
239.36,5.21,103.98,14.84,221.31,ransomware
115.29,0.68,14.27,0.72,126.26,
124.72,2.45,34.0,2.74,189.63,
96.75,0.59,52.84,3.91,146.43,
103.8,2.97,39.64,3.36,151.52,
118.13,1.16,47.37,4.04,163.6,
106.76,3.48,33.82,2.76,174.71,
122.85,1.53,28.93,1.3,158.2,
91.96,2.02,28.2,6.57,141.76,
123.66,2.04,24.9,6.66,187.52,
120.73,1.92,40.16,4.57,175.25,
100.61,1.37,40.12,6.32,135.25,
131.88,0.51,34.78,3.9,150.05,
121.53,2.49,20.62,7.88,180.94,
127.31,1.8,34.34,4.89,102.4,
137.8,2.14,37.14,3.65,139.62,
