network_traffic_mbps,failed_logins,cpu_usage_pct,data_egress_mb,active_connections,attack_type
142.39,2.09,37.0,2.97,166.14,
123.33,2.07,39.86,0.65,147.37,
92.4,0,46.43,7.1,155.09,
113.68,3.46,35.37,2.87,168.51,
108.51,2.84,29.11,3.03,148.6,
132.95,2.62,38.74,4.6,137.95,
115.02,3.06,44.6,3.75,141.03,
121.68,2.81,46.03,4.68,140.18,
113.16,0.02,32.56,4.28,190.05,
131.13,3.02,36.82,4.96,166.29,
119.39,2.9,42.95,7.65,175.55,
142.65,2.41,36.33,3.3,157.47,
122.36,2.82,23.18,6.47,126.81,
134.06,0,27.29,6.24,160.28,
138.49,2.39,31.13,3.2,153.87,
102.89,3.18,23.18,3.54,127.68,
120.16,0.71,34.59,1.29,138.48,
118.74,0.3,43.38,7.69,136.24,
119.88,0.75,30.04,1.39,172.03,
85.25,3.65,41.99,8.06,148.35,
137.84,3.18,31.84,7.81,147.6,
176.92,8.64,52.09,18.34,185.33,ransomware
220.78,2.05,113.25,28.43,205.5,ransomware
127.25,1.12,35.97,4.26,159.87,
122.13,1.15,28.92,6.21,132.78,
118.29,3.08,31.02,3.29,151.46,
110.53,2.55,44.1,4.84,143.98,
97.37,0.72,20.14,5.2,170.12,
167.78,80.92,48.74,4.93,277.87,bruteforce
173.57,86.38,42.99,10.24,249.32,bruteforce
114.73,0.56,32.99,3.13,125.51,
112.98,2.13,21.83,2.11,137.51,
95.42,0.51,34.24,2.43,129.29,
134.42,1.15,29.45,5.27,166.2,
110.38,2.02,32.05,3.62,185.53,
134.86,1.67,30.46,3.6,126.2,
106.18,1.85,42.91,5.53,164.84,
130.51,1.43,17.49,5.91,145.33,
951.26,7.1,89.19,13.36,720.22,ddos
741.64,3.74,105.92,9.0,1022.22,ddos
604.1,4.0,92.94,9.06,648.96,ddos
768.02,1.01,74.29,11.16,842.22,ddos
756.71,2.7,48.62,10.74,788.01,ddos
138.68,2.49,37.72,4.82,160.26,
134.9,2.33,55.88,7.31,130.34,
112.51,1.97,35.1,4.54,99.44,
114.13,4.1,22.76,9.42,121.14,
140.38,3.73,55.9,4.09,179.01,
116.62,2.37,17.58,8.66,147.36,
127.42,3.08,42.67,4.89,141.49,
110.88,2.19,33.57,6.07,170.22,
122.79,0.8,31.61,4.4,149.8,
212.62,13.09,105.28,24.74,202.82,ransomware
229.53,14.69,77.19,42.08,292.38,ransomware
192.38,7.32,83.04,17.46,167.88,ransomware
161.12,9.56,91.18,8.71,228.77,ransomware
177.58,5.7,93.64,38.37,246.32,ransomware
119.92,2.35,28.69,3.16,142.21,
102.28,2.5,29.77,6.1,156.8,
122.97,1.44,43.48,5.44,176.92,
142.12,3.23,52.52,7.31,169.19,
117.09,0,30.97,5.97,159.32,
112.27,1.26,30.68,5.76,154.62,
105.91,3.06,40.02,1.43,171.09,
135.41,0.57,30.63,3.83,186.35,
142.13,2.05,33.69,6.08,163.01,
116.46,0.3,32.76,5.52,122.56,
102.26,0.09,37.1,1.52,138.56,
83.97,3.83,21.24,5.97,181.37,
134.58,3.69,50.33,8.99,143.66,
117.82,0.59,30.4,4.79,182.92,
377.57,3.48,43.46,80.79,282.06,exfiltration
261.92,2.51,49.36,104.17,277.07,exfiltration
229.16,1.71,41.7,173.25,208.73,exfiltration
142.0,3.59,44.98,3.57,134.2,
135.99,0,34.28,3.99,149.24,
745.75,3.4,62.69,4.31,719.67,ddos
952.21,3.41,66.95,12.38,1123.45,ddos
674.82,2.25,82.12,12.24,790.07,ddos
816.19,3.66,65.13,5.63,831.22,ddos
774.44,1.08,69.79,4.86,666.21,ddos
112.89,2.34,35.52,6.86,142.24,
118.28,1.58,38.84,8.33,150.35,
100.9,2.06,33.55,5.86,135.17,
90.24,1.17,23.46,4.69,161.33,
112.42,0,31.93,4.14,171.29,
81.19,0.34,40.66,3.1,136.41,
134.62,3.15,39.05,6.37,157.37,
134.8,0.9,37.9,0.58,161.99,
279.45,3.39,36.0,110.55,250.24,exfiltration
224.51,4.91,54.81,44.87,214.73,exfiltration
301.11,5.31,51.49,123.67,229.54,exfiltration
269.49,6.12,34.54,365.13,222.16,exfiltration
251.28,2.95,26.21,110.46,200.01,exfiltration
278.69,2.83,55.35,173.26,178.29,exfiltration
137.44,0,41.44,7.07,159.18,
110.24,0,41.8,1.59,139.66,
203.77,3.2,52.84,147.81,219.09,exfiltration
242.1,1.65,21.83,197.12,206.47,exfiltration
251.85,3.66,40.84,192.74,206.28,exfiltration
229.95,1.1,49.15,150.37,319.83,exfiltration
106.02,0,48.04,5.07,136.5,
134.38,3.48,37.84,4.45,175.06,
123.92,1.44,30.13,10.31,162.96,
115.24,2.18,44.16,0,132.33,
100.82,2.62,45.85,4.78,140.65,
92.84,1.41,48.7,7.56,184.3,
105.92,0.14,34.73,3.51,149.91,
127.37,2.55,41.24,5.74,179.84,
117.31,3.16,45.65,4.11,172.41,
135.58,1.58,32.42,4.63,163.64,
127.74,4.17,52.66,2.14,140.22,
124.99,2.05,46.62,5.74,146.96,
134.69,1.15,34.74,4.44,160.13,
121.54,2.3,36.49,5.37,121.63,
103.41,3.35,36.02,6.52,161.03,
139.65,4.0,35.99,4.61,138.89,
182.71,17.3,45.34,7.78,289.63,bruteforce
152.49,76.42,64.81,9.44,283.72,bruteforce
137.9,14.43,27.69,4.42,294.85,bruteforce
192.13,5.62,99.13,31.79,222.42,ransomware
174.26,11.58,112.82,46.97,217.76,ransomware
217.96,9.53,83.73,34.95,220.86,ransomware
219.28,8.18,82.65,24.1,208.23,ransomware
140.15,1.51,42.21,5.19,142.15,
131.45,2.78,40.95,5.31,140.26,
127.89,2.2,45.11,6.9,142.96,
116.4,0,37.91,3.35,165.04,
125.03,2.05,34.68,5.92,154.1,
107.31,2.08,56.37,8.47,149.22,
123.56,2.06,29.71,5.34,131.97,
136.5,4.72,43.46,7.24,155.85,
113.86,2.18,31.68,1.85,159.57,
135.73,4.13,29.82,5.47,148.61,
133.28,1.59,25.36,5.19,150.93,
99.61,2.87,38.17,6.93,179.59,
114.63,3.04,27.34,2.62,165.38,
94.09,3.57,25.82,4.41,161.68,
143.94,2.71,37.11,5.68,154.3,
109.55,2.04,35.31,5.61,175.33,
153.23,0,35.67,1.02,177.13,
135.75,1.34,34.86,2.36,177.12,
109.6,1.25,38.17,2.65,148.18,
103.85,3.1,52.43,3.95,167.95,
122.14,1.27,31.44,4.1,128.3,
96.92,1.3,28.88,4.56,130.62,
198.1,11.89,52.66,3.54,320.43,bruteforce
225.77,16.31,34.99,6.87,218.61,bruteforce
179.6,70.82,37.18,3.27,341.71,bruteforce
212.44,43.16,19.44,5.88,401.42,bruteforce
121.22,1.27,42.4,5.23,84.75,
95.24,1.88,42.22,10.59,153.67,
99.64,0,41.19,5.33,139.67,
98.7,1.08,50.79,5.43,182.94,
152.08,1.35,36.35,5.14,124.59,
186.63,10.35,111.25,22.7,208.21,ransomware
215.96,5.18,61.64,24.16,158.73,ransomware
153.33,5.37,112.18,19.56,261.77,ransomware
223.95,2.57,55.14,27.99,221.82,ransomware
125.61,10.6,73.85,18.96,215.8,ransomware
230.32,10.33,140.49,49.69,184.88,ransomware
123.74,0,37.26,2.26,139.8,
122.94,2.54,31.21,3.51,135.15,
109.3,0.97,24.3,3.95,164.97,
129.16,1.5,36.2,3.58,152.77,
117.82,1.29,31.66,5.15,138.83,
97.03,1.7,13.99,5.28,160.11,
121.02,1.5,26.41,3.21,189.23,
112.81,3.36,38.3,4.65,149.15,
118.53,1.29,39.46,7.26,147.09,
113.64,2.51,33.36,6.71,140.08,
109.34,1.1,36.65,9.6,153.87,
129.68,2.21,39.64,4.96,163.84,
351.84,1.95,26.96,119.1,212.07,exfiltration
255.11,1.54,49.12,54.66,266.97,exfiltration
237.03,2.38,40.73,122.07,266.77,exfiltration
228.21,0.64,43.51,143.55,188.97,exfiltration
270.15,1.97,41.34,137.04,176.27,exfiltration
133.36,4.01,39.84,5.86,147.81,
102.43,4.07,18.01,4.96,171.88,
139.8,4.27,25.03,7.39,140.21,
145.37,0.12,36.73,6.77,159.18,
83.64,1.44,31.98,1.66,156.89,
113.36,1.51,27.64,5.41,162.35,
112.14,0.69,23.3,7.86,143.72,
109.47,2.37,34.34,4.98,148.72,
117.0,0.6,18.71,6.73,129.66,
116.67,0.92,32.18,5.04,177.12,
133.06,0.87,40.15,8.03,160.55,
128.28,5.58,45.08,5.48,148.86,
93.79,1.52,35.15,9.48,151.49,
116.61,2.46,35.69,4.54,139.58,
134.7,1.65,31.39,5.17,151.99,
140.87,2.48,33.45,6.0,167.83,
105.79,1.29,25.14,2.12,156.25,
133.88,4.53,30.47,3.64,164.03,
687.94,2.13,67.66,6.65,881.15,ddos
908.79,3.53,58.58,6.17,699.92,ddos
714.24,2.35,55.6,2.28,1078.42,ddos
175.97,0.0,47.2,7.75,192.67,bruteforce
189.01,59.91,61.18,9.85,320.52,bruteforce
117.39,3.06,49.96,4.01,179.88,
105.73,1.35,42.64,10.09,188.87,
143.77,25.94,50.4,4.85,260.93,bruteforce
166.6,76.05,46.81,5.46,327.29,bruteforce
153.9,42.87,37.96,3.39,238.77,bruteforce
167.84,9.88,69.52,4.02,259.55,bruteforce
166.66,22.64,46.56,8.95,237.78,bruteforce
99.0,3.17,24.56,3.75,163.3,
123.48,1.33,47.2,6.86,183.55,
111.54,1.08,43.71,5.88,139.52,
141.56,2.91,32.89,4.74,131.61,
117.97,3.4,36.48,3.7,160.82,
132.13,4.87,28.54,2.59,178.1,
135.55,1.17,34.12,1.11,145.67,
100.31,2.41,26.53,4.61,129.01,
127.51,2.82,23.78,4.95,144.43,
83.0,0.97,31.26,4.37,171.41,
100.17,1.39,37.08,10.15,135.11,
110.07,3.54,36.15,4.25,129.02,
89.0,0,40.93,4.73,156.86,
134.65,2.12,35.05,1.42,171.25,
122.24,2.09,32.28,7.62,161.8,
120.36,2.47,10.06,2.4,135.2,
133.09,1.7,30.46,7.65,117.65,
126.57,3.68,46.36,4.5,195.96,
114.37,2.59,36.13,3.26,199.17,
123.73,1.77,37.95,2.95,169.86,
138.39,2.71,35.0,1.96,157.23,
151.91,3.57,30.99,3.95,148.89,
124.91,3.54,25.6,7.01,155.54,
132.73,3.5,26.61,7.27,193.77,
113.07,3.17,38.43,4.38,141.9,
119.31,0,33.12,4.55,136.95,
132.26,2.1,39.27,2.74,154.34,
719.66,3.8,75.99,5.23,749.84,ddos
721.3,3.14,63.14,11.41,767.66,ddos
820.6,4.81,72.14,5.99,753.68,ddos
649.82,5.13,63.81,13.98,1083.62,ddos
113.18,2.05,23.07,4.81,155.67,
132.33,1.89,42.73,4.42,165.61,
116.84,0,30.24,5.55,165.13,
106.3,0.09,24.06,5.09,161.6,
230.38,2.01,42.31,56.01,161.87,exfiltration
287.57,1.63,51.56,137.15,221.83,exfiltration
98.64,2.24,27.34,5.05,150.29,
130.15,0.8,44.96,4.0,154.51,
127.23,3.18,30.74,4.34,199.86,
120.98,2.29,26.32,7.01,155.08,
118.0,2.3,39.73,8.06,151.31,
109.22,0.9,18.43,6.57,137.98,
160.89,46.18,52.09,7.56,206.78,bruteforce
207.04,5.87,49.96,7.16,274.25,bruteforce
151.24,45.32,36.19,5.85,279.92,bruteforce
224.0,74.65,55.57,6.18,227.19,bruteforce
111.93,1.43,49.31,0.38,130.7,
92.1,2.71,26.92,6.36,172.37,
181.42,53.0,47.96,5.7,321.76,bruteforce
156.8,40.87,57.55,3.96,349.25,bruteforce
229.03,15.35,56.88,5.41,220.92,bruteforce
158.2,31.06,47.38,9.11,275.49,bruteforce
125.62,0.48,42.49,5.23,114.24,
119.43,3.18,45.89,6.35,145.24,
147.75,1.93,41.99,6.84,129.94,
105.02,3.42,39.91,2.55,161.46,
125.02,3.56,34.34,4.35,162.99,
112.36,2.6,26.67,5.04,147.54,
87.4,2.32,35.34,4.41,130.48,
116.53,1.34,38.48,5.73,135.18,
110.37,2.22,29.16,3.2,155.33,
114.35,0.48,38.84,4.01,138.06,
113.48,2.72,44.35,4.64,141.94,
103.74,1.58,29.23,3.32,156.88,
95.74,1.64,32.97,7.29,144.09,
153.51,3.16,41.86,7.01,118.61,
133.9,1.3,33.22,7.21,161.69,
129.63,4.17,23.08,5.24,156.66,
123.34,0.71,32.8,6.56,150.28,
115.06,2.58,48.38,4.13,116.5,
118.59,0.75,28.02,5.05,153.54,
130.56,2.09,39.97,5.81,149.08,
115.91,3.17,32.73,6.52,110.92,
111.34,3.21,31.73,5.8,144.37,
135.85,0,38.19,7.45,160.76,
137.11,1.03,46.3,2.56,150.39,
126.73,4.07,23.06,6.21,122.34,
115.04,0.73,23.17,5.68,141.46,
143.18,1.71,31.7,3.04,153.27,
113.99,1.59,29.66,7.51,170.23,
199.85,8.84,105.14,7.36,161.96,ransomware
206.39,0.05,107.33,31.4,170.82,ransomware
230.5,7.63,111.52,28.46,214.72,ransomware
212.35,10.26,106.93,18.57,155.77,ransomware
208.3,6.91,69.54,23.94,202.78,ransomware
110.74,2.11,33.68,5.51,162.27,
126.32,3.06,35.38,5.34,193.81,
203.52,2.28,116.07,51.18,234.8,ransomware
162.84,7.98,77.37,25.6,206.86,ransomware
179.27,2.54,119.36,36.1,190.59,ransomware
169.87,0.84,126.04,16.36,281.89,ransomware
209.57,2.84,81.31,39.58,245.09,ransomware
153.09,4.5,33.35,5.42,159.73,
119.01,0.8,25.86,3.59,157.98,
100.82,5.28,32.27,7.55,177.58,
115.73,1.74,26.49,2.4,156.64,
120.78,0.64,35.17,3.13,152.64,
102.83,2.23,30.67,2.08,131.67,
154.05,2.36,35.06,5.73,161.17,
76.75,0,30.39,4.65,127.32,
98.67,2.65,57.08,2.89,156.61,
128.7,4.08,26.9,4.49,142.18,
152.12,0.82,47.62,4.17,146.5,
111.72,4.82,46.97,5.87,135.65,
128.26,2.38,28.11,6.23,142.85,
91.96,1.75,41.98,2.28,169.41,
918.85,0.64,71.02,7.73,862.52,ddos
875.19,2.38,62.11,3.49,650.62,ddos
1042.16,4.68,73.58,7.94,731.99,ddos
116.44,3.89,40.02,6.38,140.2,
108.76,1.28,33.41,5.72,168.18,
103.03,4.71,51.52,2.03,145.24,
136.8,2.83,25.1,7.63,135.01,
128.01,3.26,29.75,5.21,150.89,
119.57,2.07,34.37,4.94,156.56,
105.88,1.63,18.53,2.3,128.82,
112.74,0.48,37.35,3.49,155.5,
122.96,0,29.42,3.08,126.59,
110.62,1.94,35.31,4.07,167.9,
150.45,62.13,63.97,2.9,308.43,bruteforce
236.17,54.02,51.45,6.37,292.94,bruteforce
185.67,18.91,35.24,5.85,249.02,bruteforce
110.1,0.24,26.48,4.28,149.39,
122.76,1.43,35.62,10.17,166.84,
886.74,1.43,86.84,4.78,1040.07,ddos
946.77,1.68,60.63,0.57,559.99,ddos
534.47,2.12,68.53,4.51,481.45,ddos
635.87,0.95,56.93,10.85,795.32,ddos
716.08,3.83,78.97,7.94,580.95,ddos
125.65,2.35,44.28,8.08,157.63,
142.3,2.25,54.21,4.72,120.08,
132.3,0.98,32.26,5.44,178.0,
151.42,0.8,35.72,6.69,135.19,
143.25,2.39,44.63,6.0,158.41,
111.38,2.49,37.28,6.87,142.7,
108.05,0.78,47.27,4.07,159.16,
133.88,3.21,26.9,3.15,136.83,
124.68,2.15,30.86,5.92,140.89,
124.33,2.24,29.81,2.07,138.34,
110.93,2.92,29.25,4.15,104.89,
106.24,0.96,46.72,4.32,171.36,
118.79,1.06,24.03,5.29,178.68,
133.31,1.16,28.93,5.31,146.45,
108.46,0.33,27.83,2.17,140.47,
132.54,0.96,26.48,3.26,178.6,
107.68,3.36,28.04,3.74,108.36,
110.07,1.99,26.66,3.31,133.07,
128.17,0.45,33.69,4.66,146.27,
103.83,1.61,33.09,6.36,189.48,
104.19,1.89,36.85,4.11,167.7,
115.27,1.5,34.76,2.03,170.41,
119.69,1.71,36.85,3.48,128.13,
121.1,0,28.84,2.79,176.59,
127.87,1.82,42.85,7.36,166.01,
105.49,0.55,46.08,3.72,152.85,
112.4,0.25,34.26,1.24,164.03,
176.05,28.7,82.55,5.49,242.2,bruteforce
243.55,99.15,52.56,4.54,177.01,bruteforce
183.47,0.07,37.86,11.11,276.66,bruteforce
159.29,15.63,52.33,5.39,221.1,bruteforce
110.36,1.18,32.85,7.14,169.07,
130.5,0.36,26.16,7.73,98.6,
139.56,4.49,35.43,10.33,203.62,
127.5,2.23,20.25,7.43,167.1,
104.4,2.31,21.83,4.71,155.18,
99.35,1.87,32.52,4.77,133.93,
138.3,0.76,35.24,7.02,155.86,
110.7,0.95,32.88,4.59,141.85,
126.38,0.05,27.63,6.21,135.9,
127.85,2.86,53.3,5.79,170.26,
109.64,3.29,42.28,4.13,126.63,
169.52,54.45,44.84,7.59,199.71,bruteforce
162.32,52.59,36.5,3.83,336.8,bruteforce
193.11,45.92,39.96,6.63,245.13,bruteforce
170.84,65.32,48.46,6.39,299.13,bruteforce
183.39,48.54,53.65,8.04,280.4,bruteforce
88.17,0,29.71,3.88,138.47,
118.31,0.69,32.16,2.7,184.65,
75.25,1.57,24.75,6.09,170.41,
108.81,2.7,35.71,5.03,153.98,
122.21,0,36.87,6.6,156.35,
214.46,7.13,106.14,24.64,235.96,ransomware
198.27,14.04,143.66,11.48,161.52,ransomware
189.63,5.76,152.62,7.71,194.72,ransomware
230.99,4.49,89.52,31.56,231.22,ransomware
99.29,4.02,41.61,3.11,130.79,
96.72,2.23,28.6,7.44,142.22,
91.53,5.73,15.47,4.92,147.88,
130.35,3.12,29.91,1.65,150.32,
136.79,1.41,43.66,5.82,133.98,
124.92,4.59,42.61,2.04,147.18,
111.72,2.99,28.56,6.63,142.95,
106.61,4.57,42.06,4.14,116.7,
97.53,3.08,30.56,6.47,168.68,
137.41,4.27,40.06,5.61,141.02,
119.51,1.98,33.08,5.48,129.83,
141.86,0.87,26.11,3.91,143.54,
229.91,7.94,102.46,23.49,211.39,ransomware
160.35,8.77,64.04,26.73,278.3,ransomware
132.83,4.09,49.35,5.97,160.91,
90.27,1.01,44.51,5.54,175.46,
120.88,5.12,37.91,6.68,156.08,
153.86,1.0,33.4,5.94,122.15,
114.37,2.08,36.19,5.81,177.68,
140.75,1.71,38.58,6.1,167.43,
114.34,1.91,33.26,3.84,166.43,
109.36,1.01,44.67,5.42,152.31,
117.03,3.95,46.95,5.97,194.92,
102.52,1.27,34.71,4.24,129.15,
109.54,2.91,22.97,7.81,155.94,
125.16,2.78,32.67,3.79,149.61,
115.69,0,37.93,6.77,156.54,
113.88,2.97,32.44,5.74,151.48,
457.7,2.38,70.47,10.8,654.57,ddos
593.75,3.66,49.92,7.45,608.35,ddos
875.89,3.31,64.59,5.52,1146.75,ddos
119.21,2.08,33.96,4.43,140.17,
119.63,0.96,33.54,3.2,131.77,
135.08,0,34.85,5.93,169.02,
111.86,2.69,43.48,4.59,156.41,
219.81,58.01,56.93,5.54,280.24,bruteforce
238.06,9.47,54.85,8.43,215.03,bruteforce
229.35,19.15,55.34,8.06,160.22,bruteforce
174.55,120.78,69.56,5.22,266.26,bruteforce
122.25,1.56,26.74,3.39,148.07,
83.68,3.23,21.18,3.41,127.26,
100.95,2.53,49.46,1.01,138.19,
107.98,2.1,32.53,4.08,161.92,
111.0,2.3,30.2,5.02,138.38,
138.13,2.79,25.87,5.98,142.03,
